timestamp,open,high,low,close
0,100,101,99,100.5
1,100.5,102,100,101.5
2,101.5,103,101,102.5
3,102.5,104,102,103.5
4,103.5,104,100.5,101
5,101,102,99.5,100
6,100,101.5,98.5,99.5
7,99.5,100.5,97.8,100
8,100,103,99.5,102.5
9,102.5,106,102,105.5
10,105.5,109,105,108.5
11,108.5,111,108,110.5
12,110.5,113,110,112.5
13,112.5,115,112,114.5
14,114.5,116,113,115.5
15,115.5,118,115,117.5
16,117.5,119,116,118.5
17,118.5,121,118,120.5
18,120.5,122,119,121.5
19,121.5,124,121,123.5
20,123.5,125,122,124.5
